,Date,Open,High,Low,Close,Volume,Adj Close
0,2015-01-05,9292.31,9292.31,9182.02,9274.11,81345265,9274.11
1,2015-01-06,9209.93,9209.93,9043.44,9048.34,111238929,9048.34
2,2015-01-07,9051.94,9108.66,9050.54,9080.09,96820252,9080.09
3,2015-01-08,9154.03,9246.62,9154.03,9238.03,108488344,9238.03
4,2015-01-09,9247.4,9284.57,9215.58,9215.58,98908302,9215.58
5,2015-01-12,9198.02,9229.65,9178.3,9178.3,84290218,9178.3
6,2015-01-13,9162.77,9253.82,9161.71,9231.8,92735481,9231.8
7,2015-01-14,9235.9,9242.2,9161.71,9180.23,93381279,9180.23
8,2015-01-15,9197.32,9219.43,9149.1,9165.09,89523585,9165.09
9,2015-01-16,9245.77,9256.86,9109.46,9138.29,115876618,9138.29
10,2015-01-19,9183.76,9247.09,9151.82,9174.06,89551555,9174.06
11,2015-01-20,9188.76,9259.31,9177.48,9251.69,87021887,9251.69
12,2015-01-21,9283.79,9319.71,9275.68,9319.71,100206965,9319.71
13,2015-01-22,9336.81,9386.56,9336.81,9369.51,99005014,9369.51
14,2015-01-23,9422.0,9471.8,9422.0,9470.94,119899956,9470.94
15,2015-01-26,9474.56,9478.53,9436.47,9477.67,90717233,9477.67
16,2015-01-27,9505.56,9523.73,9471.19,9521.59,91189724,9521.59
17,2015-01-28,9503.2,9515.29,9471.31,9510.92,83360493,9510.92
18,2015-01-29,9479.36,9482.13,9403.75,9426.9,83535098,9426.9
19,2015-01-30,9452.85,9466.65,9361.91,9361.91,87386116,9361.91
20,2015-02-02,9368.83,9410.43,9352.19,9386.99,73061323,9386.99
21,2015-02-03,9394.47,9460.17,9394.47,9448.73,77845519,9448.73
22,2015-02-04,9477.52,9533.88,9477.52,9513.92,98275417,9513.92
23,2015-02-05,9511.06,9517.42,9472.42,9512.05,74420917,9512.05
24,2015-02-06,9521.88,9521.88,9448.65,9456.18,72878511,9456.18
25,2015-02-09,9465.12,9465.12,9413.18,9421.5,66408178,9421.5
26,2015-02-10,9405.59,9435.07,9390.13,9393.7,76023534,9393.7
27,2015-02-11,9430.17,9488.72,9430.17,9462.22,97422271,9462.22
28,2015-02-12,9496.39,9500.35,9447.19,9496.31,76959919,9496.31
29,2015-02-13,9500.04,9542.09,9499.97,9529.51,77582871,9529.51
30,2015-02-24,9582.39,9638.48,9582.39,9629.37,114787053,9629.37
31,2015-02-25,9655.72,9699.54,9653.77,9699.54,97194559,9699.54
32,2015-02-26,9687.48,9688.07,9610.59,9622.1,98596499,9622.1
33,2015-03-02,9665.11,9690.43,9588.36,9601.36,92829887,9601.36
34,2015-03-03,9628.06,9642.95,9571.64,9605.77,85986600,9605.77
35,2015-03-04,9596.24,9635.18,9580.78,9621.73,85082416,9621.73
36,2015-03-05,9627.04,9631.04,9564.44,9595.09,85930112,9595.09
37,2015-03-06,9587.59,9645.77,9574.55,9645.77,95779164,9645.77
38,2015-03-09,9617.04,9617.04,9549.76,9562.98,86761859,9562.98
39,2015-03-10,9566.25,9583.78,9520.33,9536.53,93135039,9536.53
40,2015-03-11,9503.28,9561.81,9472.54,9523.18,97041709,9523.18
41,2015-03-12,9537.23,9608.02,9530.74,9596.0,97163349,9596.0
42,2015-03-13,9608.44,9633.51,9579.35,9579.35,88452992,9579.35
43,2015-03-16,9583.45,9590.76,9512.91,9512.91,83938634,9512.91
44,2015-03-17,9555.1,9629.8,9539.44,9539.44,98232446,9539.44
45,2015-03-18,9563.74,9653.43,9561.5,9653.43,107569431,9653.43
46,2015-03-19,9668.01,9745.59,9668.01,9736.73,118243967,9736.73
47,2015-03-20,9706.35,9749.69,9705.32,9749.69,122255394,9749.69
48,2015-03-23,9759.88,9775.63,9729.81,9758.09,104895147,9758.09
49,2015-03-24,9759.96,9768.71,9701.33,9731.66,97574071,9731.66
50,2015-03-25,9739.25,9743.58,9653.47,9667.83,96868025,9667.83
51,2015-03-26,9579.63,9619.12,9540.03,9619.12,120170809,9619.12
52,2015-03-27,9593.07,9608.44,9503.72,9503.72,114397157,9503.72
53,2015-03-30,9533.38,9556.25,9503.53,9521.87,92563918,9521.87
54,2015-03-31,9568.38,9594.75,9527.87,9586.44,107060381,9586.44
55,2015-04-01,9575.11,9575.11,9503.53,9507.66,87244876,9507.66
56,2015-04-02,9535.98,9628.95,9535.98,9600.32,94545361,9600.32
57,2015-04-07,9619.97,9653.97,9613.33,9641.9,93042458,9641.9
58,2015-04-08,9646.07,9654.67,9562.0,9571.97,94461032,9571.97
59,2015-04-09,9597.21,9663.05,9559.71,9568.04,100860943,9568.04
60,2015-04-10,9626.88,9648.34,9582.84,9617.7,92668766,9617.7
61,2015-04-13,9622.64,9666.52,9622.59,9666.52,86796280,9666.52
62,2015-04-14,9646.28,9664.1,9631.19,9642.22,94828954,9642.22
63,2015-04-15,9629.7,9654.15,9508.14,9540.06,114465047,9540.06
64,2015-04-16,9578.71,9656.87,9578.71,9656.87,104637603,9656.87
65,2015-04-17,9608.6,9615.52,9570.93,9570.93,99134369,9570.93
66,2015-04-20,9541.83,9572.65,9508.57,9552.85,91460781,9552.85
67,2015-04-21,9554.8,9598.86,9512.64,9533.98,94463486,9533.98
68,2015-04-22,9549.61,9630.79,9549.61,9613.0,104685072,9613.0
69,2015-04-23,9655.3,9814.88,9655.3,9797.49,144526139,9797.49
70,2015-04-24,9839.71,9961.31,9839.71,9913.28,168637244,9913.28
71,2015-04-27,9941.18,10002.58,9937.04,9973.12,132148192,9973.12
72,2015-04-28,9998.08,10014.28,9918.01,9956.83,118166428,9956.83
73,2015-04-29,9934.82,9978.87,9842.5,9853.83,114996623,9853.83
74,2015-04-30,9841.15,9894.9,9820.05,9820.05,113354129,9820.05
75,2015-05-04,9853.51,9871.65,9800.48,9845.04,99034716,9845.04
76,2015-05-05,9849.13,9855.64,9788.13,9820.13,91994840,9820.13
77,2015-05-06,9780.39,9829.43,9735.94,9818.2,97732149,9818.2
78,2015-05-07,9789.82,9789.82,9704.11,9704.11,95421537,9704.11
79,2015-05-08,9724.29,9760.51,9692.0,9692.0,84710934,9692.0
80,2015-05-11,9763.94,9797.19,9635.88,9663.72,96227341,9663.72
81,2015-05-12,9637.71,9702.67,9637.21,9680.73,89236772,9680.73
82,2015-05-13,9697.17,9743.33,9687.66,9724.11,96418634,9724.11
83,2015-05-14,9730.33,9734.55,9600.24,9610.83,99001312,9610.83
84,2015-05-15,9638.06,9644.83,9552.86,9579.48,84261006,9579.48
85,2015-05-18,9603.75,9612.44,9550.76,9606.1,93428095,9606.1
86,2015-05-19,9623.95,9722.8,9623.95,9716.77,108489411,9716.77
87,2015-05-20,9726.02,9736.09,9662.86,9685.31,98669954,9685.31
88,2015-05-21,9647.53,9647.53,9536.16,9578.56,96794500,9578.56
89,2015-05-22,9606.51,9674.77,9606.51,9638.8,99773167,9638.8
90,2015-05-25,9654.28,9654.28,9589.32,9645.17,76977513,9645.17
91,2015-05-26,9688.31,9724.36,9649.62,9669.41,79860039,9669.41
92,2015-05-27,9666.89,9710.29,9648.71,9693.54,102139702,9693.54
93,2015-05-28,9741.57,9766.21,9704.93,9712.84,115389626,9712.84
94,2015-05-29,9727.59,9747.27,9693.0,9701.07,143729623,9701.07
95,2015-06-01,9688.13,9692.34,9589.09,9625.69,92338115,9625.69
